name,type,lat,lon,formatted_address,website,opening_hours
Soy,restaurant,41.8439374,-74.0827255,n/a,n/a,We-Fr 17:00-22:00; Sa 12:00-22:00; Su 12:00-21:00
Phillips European Restaurant,restaurant,43.1065551,-77.6183735,n/a,https://www.phillipseuropean.com/,Tu-Sa 11:00-22:00
Delmonico's Italian Steakhouse,restaurant,43.1053548,-77.6172225,n/a,n/a,n/a
TGI Fridays,restaurant,43.1050094,-77.6167795,n/a,https://locations.tgifridays.com/ny/rochester/125-white-spruce-blvd.html,n/a
The Richardson,bar,40.7189211,-73.9452678,n/a,n/a,n/a
Carmine's Pizzeria,restaurant,40.7149680,-73.9443016,n/a,https.//www.carmineapizzeriamenu.com,n/a
El Loco Burrito,restaurant,40.7148102,-73.9445968,n/a,n/a,Mo-Sa 11:00-21:00; Su 12:00-21:00
Tony's Pizza,restaurant,40.7150542,-73.9446372,n/a,n/a,Mo-Th 10:00-23:00; Fr-Sa 10:00-24:00; Su 10:00-23:00
Dunkin',fast_food,40.7147639,-73.9442508,n/a,https://locations.dunkindonuts.com/en/ny/brooklyn/352-graham-ave/342627,05:00-22:00
East Met West,restaurant,40.7144470,-73.9439212,n/a,n/a,"Mo-Th 11:00-23:00; Fr, Sa 11:00-23:30; Su 11:30-23:00"
Il Passatore,restaurant,40.7143441,-73.9420637,n/a,https://ilpassatorebrooklyn.com,17:00-22:00
Subway,fast_food,43.0196681,-78.8799914,n/a,https://restaurants.subway.com/united-states/ny/tonawanda/45-niagara-st,Mo-Sa 10:00-21:00; Su 10:00-20:00
Subway,fast_food,43.0035862,-78.8585699,n/a,https://restaurants.subway.com/united-states/ny/tonawanda/750-young-street,Mo-Sa 10:00-20:00; Su 10:00-18:00
Dairy Queen,fast_food,43.0209241,-78.8810164,n/a,https://www.dairyqueen.com/locations/ny/tonawanda/100-niagara-st/8130,Mo-Su 10:00-21:30
McDonald's,fast_food,40.7220373,-73.9404458,n/a,https://www.mcdonalds.com/us/en-us/location/23533.html,Mo-Th 06:00-24:00; Fr-Sa 06:00-01:00; Su 06:00-24:00
Tim Hortons,cafe,42.8856184,-78.8746084,n/a,https://www.timhortons.com/,Mo-Fr 07:00-14:00
Sweetgreen,fast_food,40.8073542,-73.9647166,n/a,https://order.sweetgreen.com/columbia-u/menu,Mo-Su 10:30-22:00
Sarah James,restaurant,40.6932477,-73.9425684,n/a,n/a,n/a
Five Guys,fast_food,41.0938583,-74.0043649,n/a,https://restaurants.fiveguys.com/255-east-rte-59,11:00-21:30
Club House,restaurant,41.1402785,-73.9908116,n/a,n/a,n/a
Burger King,fast_food,44.0571444,-75.7004529,n/a,n/a,n/a
Burger King,fast_food,44.0474031,-75.8067361,n/a,https://www.bk.com/store-locator/store/restaurant_3567,Mo-Fr 07:00-21:00; Sa 09:00-21:00; Su 10:00-19:00
Hard Rock Cafe,restaurant,40.7569097,-73.9865975,n/a,https://www.hardrockcafe.com/location/new-york/,n/a
Mississippi Mudd's,fast_food,43.0166850,-78.8898248,n/a,n/a,n/a
Old Man River,fast_food,43.0156701,-78.8921369,n/a,n/a,n/a
Plaza Pizzeria on Main,restaurant,43.0126956,-78.8797429,n/a,http://www.plazapizza.biz,n/a
Salty's Pub,restaurant,42.8381413,-73.7384977,n/a,n/a,n/a
Foundry Rose Cafe,restaurant,41.4172932,-73.9588387,n/a,n/a,n/a
Carbone,restaurant,40.7554192,-73.9930152,n/a,n/a,n/a
Freemans,restaurant,40.7219891,-73.9924423,n/a,https://www.freemansrestaurant.com,Mo-Th 11:00-23:00; Fr 11:00-02:00; Sa 10:00-02:00; Su 10:00-23:00
Aurora,restaurant,40.7156820,-73.9646840,n/a,http://www.auroraristorante.com/,n/a
Best Bagels And Coffee,cafe,40.7521865,-73.9910680,n/a,n/a,n/a
Toasties,cafe,40.7570840,-73.9778930,n/a,http://www.toastiesnyc.com/,Mo-Fr 06:00-19:00; Sa 08:00-16:00
Tick Tock Diner,restaurant,40.7524435,-73.9935503,n/a,https://www.ticktockdinerny.com,"We-Su 00:00-00:00; Mo, Tu 06:00-22:00"
Giovanni,restaurant,40.7791310,-73.9605360,n/a,https://www.giovanniventicinque.com/,n/a
City Market Cafe,cafe,40.7786106,-73.9606629,n/a,n/a,n/a
Taco Bell Cantina,fast_food,40.7529683,-73.9926431,n/a,https://locations.tacobell.com/ny/new-york/500-8th-avenue.html,"Mo-Th, Su 08:00-03:00; Fr, Sa 08:00-04:00"
